"No.","Time","Source","Destination","Protocol","Length","Info"
"223","1.257786","192.168.0.105","37.130.194.56","SSL","1056","Continuation Data"
"224","1.263794","192.168.0.105","37.130.194.56","SSL","132","Continuation Data"
"225","1.272389","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=87925 Win=16391 Len=0"
"226","1.274810","192.168.0.105","37.130.194.64","TLSv1.2","162","Application Data"
"227","1.278158","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=89005 Win=16391 Len=0"
"228","1.281625","192.168.0.105","37.130.194.56","SSL","1183","Continuation Data"
"229","1.287693","192.168.0.105","37.130.194.56","SSL","140","Continuation Data"
"230","1.288078","192.168.0.105","37.130.194.56","SSL","1184","Continuation Data"
"231","1.289828","37.130.194.64","192.168.0.105","TLSv1.2","158","Application Data"
"232","1.290800","192.168.0.105","37.130.194.64","TLSv1.2","229","Application Data"
"233","1.304754","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=90220 Win=16391 Len=0"
"234","1.305816","192.168.0.105","37.130.194.56","SSL","142","Continuation Data"
"235","1.311579","192.168.0.105","37.130.194.56","SSL","1162","Continuation Data"
"236","1.317599","192.168.0.105","37.130.194.56","SSL","1162","Continuation Data"
"237","1.323627","192.168.0.105","37.130.194.56","SSL","144","Continuation Data"
"238","1.347759","192.168.0.105","37.130.194.56","SSL","138","Continuation Data"
"239","1.348016","37.130.194.64","192.168.0.105","TCP","54","443  >  55511 [ACK] Seq=210 Ack=393 Win=195 Len=0"
"240","1.351599","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=91350 Win=16391 Len=0"
"241","1.353489","192.168.0.105","37.130.194.56","SSL","871","Continuation Data"
"242","1.353812","192.168.0.105","37.130.194.56","SSL","872","Continuation Data"
"243","1.359398","192.168.0.105","37.130.194.56","SSL","872","Continuation Data"
"244","1.365390","192.168.0.105","37.130.194.56","SSL","131","Continuation Data"
"245","1.383500","192.168.0.105","37.130.194.56","SSL","131","Continuation Data"
