"No.","Time","Source","Destination","Protocol","Length","Info"
"132","0.207418","91.108.29.170","192.168.0.105","UDP","884","58415  >  1703 Len=842"
"133","0.207426","91.108.29.170","192.168.0.105","UDP","882","58415  >  1703 Len=840"
"134","0.207432","91.108.29.170","192.168.0.105","UDP","848","58415  >  1703 Len=806"
"135","0.207437","91.108.29.170","192.168.0.105","UDP","848","58415  >  1703 Len=806"
"136","0.207766","91.108.29.170","192.168.0.105","UDP","848","58415  >  1703 Len=806"
"137","0.207769","91.108.29.170","192.168.0.105","UDP","115","58415  >  1703 Len=73"
"138","0.209131","192.168.0.105","91.108.29.170","UDP","1116","1703  >  58415 Len=1074"
"139","0.209491","192.168.0.105","91.108.29.170","UDP","1116","1703  >  58415 Len=1074"
"140","0.209913","192.168.0.105","91.108.29.170","UDP","1116","1703  >  58415 Len=1074"
"141","0.220747","192.168.0.105","91.108.29.170","UDP","138","1703  >  58415 Len=96"
"142","0.232889","91.108.29.170","192.168.0.105","UDP","115","58415  >  1703 Len=73"
"143","0.239982","192.168.0.105","91.108.29.170","UDP","142","1703  >  58415 Len=100"
"144","0.240877","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"145","0.240993","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"146","0.241077","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"147","0.241166","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"148","0.241271","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"149","0.241351","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"150","0.241444","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"151","0.241529","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"152","0.241622","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"153","0.241710","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"154","0.241777","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"155","0.241861","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
